Image_Name,Small_DCA,Medium_DCA,Large_DCA,Oth
ISIC2017_0000030_mel_MASK.png,1,0,0,0
ISIC2017_0000031_mel_MASK.png,1,0,0,0
ISIC2017_0000077_mel_MASK.png,1,0,0,0
ISIC2017_0000078_mel_MASK.png,0,0,0,1
ISIC2017_0000140_mel_MASK.png,1,0,0,0
ISIC2017_0001133_mel_MASK.png,0,1,0,0
ISIC2019_0000002_mel_MASK.png,0,0,0,1
ISIC2019_0000004_mel_MASK.png,0,1,0,0
ISIC2019_0000074_mel_MASK.png,0,0,0,1
ISIC2019_0000276_mel_MASK.png,1,0,0,0
ISIC2019_0000277_mel_MASK.png,1,0,0,0
ISIC2019_0000282_mel_MASK.png,1,0,0,0
ISIC2019_0000283_mel_MASK.png,0,1,0,0
ISIC2019_0000290_mel_MASK.png,0,1,0,0
ISIC2019_0000293_mel_MASK.png,0,0,0,1
ISIC2019_0000295_mel_MASK.png,0,0,0,1
ISIC2019_0000297_mel_MASK.png,0,0,0,1
ISIC2019_0000300_mel_MASK.png,0,0,0,1
ISIC2019_0000307_mel_MASK.png,0,0,0,1
ISIC2019_0000313_mel_MASK.png,0,0,0,1
ISIC2019_0000314_mel_MASK.png,0,0,0,1
ISIC2019_0010322_mel_MASK.png,0,0,0,1
ISIC2019_0011126_mel_MASK.png,1,0,0,0
ISIC2019_0024644_mel_MASK.png,1,0,0,0
ISIC2019_0024647_mel_MASK.png,1,0,0,0
ISIC2019_0024767_mel_MASK.png,0,0,0,1
ISIC2019_0025234_mel_MASK.png,1,0,0,0
ISIC2019_0025265_mel_MASK.png,0,0,0,1
ISIC2019_0025394_mel_MASK.png,0,0,0,1
ISIC2019_0025904_mel_MASK.png,0,0,0,1
ISIC2019_0025927_mel_MASK.png,0,0,0,1
ISIC2019_0026158_mel_MASK.png,0,0,0,1
ISIC2019_0026188_mel_MASK.png,0,0,0,1
ISIC2019_0026647_mel_MASK.png,1,0,0,0
ISIC2019_0026892_mel_MASK.png,1,0,0,0
ISIC2019_0027030_mel_MASK.png,0,0,0,1
ISIC2019_0027065_mel_MASK.png,0,0,0,1
ISIC2019_0027204_mel_MASK.png,0,0,0,1
ISIC2019_0027234_mel_MASK.png,0,0,0,1
ISIC2019_0027721_mel_MASK.png,1,0,0,0
ISIC2019_0028325_mel_MASK.png,0,0,0,1
ISIC2019_0028361_mel_MASK.png,0,0,0,1
ISIC2019_0028900_mel_MASK.png,0,0,0,1
ISIC2019_0029512_mel_MASK.png,0,0,0,1
ISIC2019_0029562_mel_MASK.png,0,0,0,1
ISIC2019_0029660_mel_MASK.png,0,0,0,1
ISIC2019_0030281_mel_MASK.png,0,0,0,1
ISIC2019_0030539_mel_MASK.png,1,0,0,0
ISIC2019_0031890_mel_MASK.png,1,0,0,0
ISIC2019_0032182_mel_MASK.png,0,0,0,1
ISIC2019_0032244_mel_MASK.png,0,0,0,1
ISIC2019_0032408_mel_MASK.png,1,0,0,0
ISIC2019_0032511_mel_MASK.png,1,0,0,0
ISIC2019_0032517_mel_MASK.png,1,0,0,0
ISIC2019_0032532_mel_MASK.png,0,0,0,1
ISIC2019_0032533_mel_MASK.png,1,0,0,0
ISIC2019_0032535_mel_MASK.png,1,0,0,0
ISIC2019_0032604_mel_MASK.png,1,0,0,0
ISIC2019_0032610_mel_MASK.png,0,0,0,1
ISIC2019_0032653_mel_MASK.png,1,0,0,0
ISIC2019_0032662_mel_MASK.png,1,0,0,0
ISIC2019_0032690_mel_MASK.png,1,0,0,0
ISIC2019_0032724_mel_MASK.png,0,0,0,1
ISIC2019_0032766_mel_MASK.png,1,0,0,0
ISIC2019_0032810_mel_MASK.png,0,0,0,1
ISIC2019_0032833_mel_MASK.png,1,0,0,0
ISIC2019_0032844_mel_MASK.png,0,0,0,1
ISIC2019_0032921_mel_MASK.png,1,0,0,0
ISIC2019_0032976_mel_MASK.png,0,0,0,1
ISIC2019_0032984_mel_MASK.png,1,0,0,0
ISIC2019_0033024_mel_MASK.png,0,0,0,1
ISIC2019_0033034_mel_MASK.png,1,0,0,0
ISIC2019_0033068_mel_MASK.png,1,0,0,0
